nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
Mocha Porter,,,,,Coffee-Flavored Beer,Hybrid/mixed Beer,15.0,40.0,2.5,12.0,8.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Mocha Porter,,,,,Coffee-Flavored Beer,Hybrid/mixed Beer,15.0,40.0,2.5,12.0,8.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Peach/Blueberry Hefeweizen,,,,,Fruit Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Peach/Blueberry Hefeweizen,,,,,Fruit Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Pear Champagne,,5.3,22.0,,Golden or Blonde Ale,North American Origin Ales,15.0,25.0,4.0,5.0,3.0,7.0,1.045,,1.008,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Pear Champagne,,5.3,22.0,,Golden or Blonde Ale,North American Origin Ales,15.0,25.0,4.0,5.0,3.0,7.0,1.045,,1.008,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Potato Schwarzbier,,4.9,26.0,,German-Style Schwarzbier,European-germanic Lager,22.0,30.0,3.8,5.0,25.0,30.0,1.044,,1.01,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Potato Schwarzbier,,4.9,26.0,,German-Style Schwarzbier,European-germanic Lager,22.0,30.0,3.8,5.0,25.0,30.0,1.044,,1.01,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Puck American Pale Ale,,5.2,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Puck American Pale Ale,,5.2,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rainy Day Blues,"Notes of chocolate, molasses, and blueberries, which are added during fermentation), and just the right amount of malty sweetness
 in this full-bodied Baltic Porter.",6.0,25.0,,Baltic-Style Porter,Other Lager,35.0,40.0,7.5,9.0,40.0,40.0,1.072,,1.016,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rainy Day Blues,"Notes of chocolate, molasses, and blueberries, which are added during fermentation), and just the right amount of malty sweetness
 in this full-bodied Baltic Porter.",6.0,25.0,,Baltic-Style Porter,Other Lager,35.0,40.0,7.5,9.0,40.0,40.0,1.072,,1.016,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rompo Red Rye (Bourbon Barrel Aged),Aged in George Dickel barrel. Deer antler series,5.2,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rompo Red Rye (Bourbon Barrel Aged),Aged in George Dickel barrel. Deer antler series,5.2,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rompo Red Rye (Corsair Quinoa Whiskey Barrel Aged),,,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rompo Red Rye (Corsair Quinoa Whiskey Barrel Aged),,,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rompo Red Rye (Dickel),,5.2,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rompo Red Rye (Dickel),,5.2,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rompo Red Rye Ale,"Named after one of the gnarliest creatures of all time, Rompo is red rye ale. The house yeast gives it a floral aroma while the flaked rye adds spice to the finish. This is our session brew and will keep you howling for more.",5.6,,,Rye Ale or Lager with or without Yeast,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rompo Red Rye Ale,"Named after one of the gnarliest creatures of all time, Rompo is red rye ale. The house yeast gives it a floral aroma while the flaked rye adds spice to the finish. This is our session brew and will keep you howling for more.",5.6,,,Rye Ale or Lager with or without Yeast,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Rye Barrel Aged Cubcrawler,,,,,English-Style Dark Mild Ale,British Origin Ales,10.0,24.0,3.2,4.0,17.0,34.0,1.03,,1.004,1.008,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Rye Barrel Aged Cubcrawler,,,,,English-Style Dark Mild Ale,British Origin Ales,10.0,24.0,3.2,4.0,17.0,34.0,1.03,,1.004,1.008,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Simcoe Pale Ale,,5.2,47.0,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
