nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
Bitter Over Ewe,,,,,Extra Special Bitter,British Origin Ales,30.0,45.0,4.8,5.8,8.0,14.0,1.046,,1.01,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Bitter Over Ewe,,,,,Extra Special Bitter,British Origin Ales,30.0,45.0,4.8,5.8,8.0,14.0,1.046,,1.01,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Blueberry Porter,,,,,Fruit Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Blueberry Porter,,,,,Fruit Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Blueberry Saison,,,,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Blueberry Saison,,,,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Buffalo Trace Barrel-Aged Bearwalker,,,,,Wood- and Barrel-Aged Dark Beer,Hybrid/mixed Beer,,,3.75,6.5,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Buffalo Trace Barrel-Aged Bearwalker,,,,,Wood- and Barrel-Aged Dark Beer,Hybrid/mixed Beer,,,3.75,6.5,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Casper The Friendly Gose,"A Gose (pronounced go-suh) is a German style of beer, which was nearly extinct until recently. A refreshing half-wheat, half-pilsner malt brew with notes of coriander, lemon, and sea salt that give a hint of a mischievous side. A great introduction to the Gose Style!",5.0,13.0,,Leipzig-Style Gose,German Origin Ales,10.0,15.0,4.4,5.4,3.0,9.0,1.036,,1.008,1.012,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Casper The Friendly Gose,"A Gose (pronounced go-suh) is a German style of beer, which was nearly extinct until recently. A refreshing half-wheat, half-pilsner malt brew with notes of coriander, lemon, and sea salt that give a hint of a mischievous side. A great introduction to the Gose Style!",5.0,13.0,,Leipzig-Style Gose,German Origin Ales,10.0,15.0,4.4,5.4,3.0,9.0,1.036,,1.008,1.012,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
